Hook, Reachable
security_task_getioprio,0
security_socket_shutdown,0
security_socket_recvmsg,0
security_socket_setsockopt,0
security_socket_getsockopt,0
security_socket_getsockname,0
security_socket_getpeersec_stream,0
security_socket_getpeersec_dgram,1
security_socket_accept,0
security_sk_classify_flow,1
security_sk_alloc,1
security_sid_to_context_force,1
security_sid_to_context,1
security_inode_setattr,1
security_task_setrlimit,0
security_socket_sendmsg,0
security_shm_shmctl,0
security_key_permission,1
security_sem_free,0
security_sem_alloc,0
security_policycap_supported,0
security_inode_setsecurity,1
security_sb_umount,1
security_sb_set_mnt_opts,0
security_shm_alloc,0
security_inode_copy_up,0
security_file_permission,1
security_tun_dev_free_security,0
security_bprm_set_creds,1
security_sb_remount,1
security_capable,1
security_shm_associate,0
security_socket_create,1
security_inode_follow_link,1
security_inode_copy_up_xattr,0
security_vm_enough_memory_mm,1
security_msg_queue_msgrcv,0
security_inode_create,1
security_inode_link,1
security_ipc_getsecid,0
security_ptrace_access_check,0
security_sb_copy_data,1
security_task_prctl,0
security_sem_semctl,0
security_inode_getsecurity,1
security_task_getsecid,1
security_sb_statfs,1
security_inode_free,1
security_inode_getxattr,1
security_task_alloc,1
security_tun_dev_attach_queue,0
security_sb_free,1
security_inode_init_security,1
security_inode_readlink,1
security_bprm_committing_creds,1
security_inode_need_killpriv,1
security_req_classify_flow,0
security_secmark_relabel_packet,1
security_inode_invalidate_secctx,0
security_inode_killpriv,1
security_inode_getattr,1
security_tun_dev_create,0
security_sb_clone_mnt_opts,0
security_secmark_refcount_inc,1
security_file_fcntl,0
security_inode_listsecurity,1
security_task_getscheduler,0
security_audit_rule_match,1
security_msg_queue_associate,0
security_sb_mount,1
security_inode_mkdir,1
security_file_mprotect,0
security_kernel_read_file,1
security_kernel_module_request,0
security_inode_permission,1
security_kernel_create_files_as,0
security_shm_free,0
security_ipc_permission,0
security_bprm_committed_creds,1
security_task_kill,1
security_task_getpgid,0
security_task_setnice,0
security_cred_alloc_blank,0
security_unix_stream_connect,1
security_file_send_sigiotask,1
security_task_setscheduler,1
security_task_to_inode,0
security_inode_symlink,0
security_sock_rcv_skb,1
security_key_alloc,1
security_inode_getsecctx,0
security_inode_setsecctx,0
security_task_setpgid,0
security_file_lock,0
security_tun_dev_open,0
security_inode_setxattr,1
security_inode_post_setxattr,1
security_transfer_creds,0
security_task_setioprio,1
security_tun_dev_attach,0
security_socket_getpeername,0
security_task_movememory,0
security_sid_mls_copy,1
security_task_prlimit,0
security_unix_may_send,1
security_ismaclabel,0
security_secmark_refcount_dec,0
security_inode_rmdir,1
security_binder_set_context_mgr,0
security_inet_conn_request,0
security_node_sid,1
security_settime64,0
security_socket_listen,0
security_change_sid,1
security_prepare_creds,1
security_sock_graft,0
security_capable_noaudit,1
security_file_ioctl,0
security_d_instantiate,1
security_netlink_send,0
security_shm_shmat,0
security_ib_endport_sid,0
security_net_peersid_resolve,1
security_inode_notifysecctx,0
security_syslog,0
security_binder_transaction,0
security_old_inode_init_security,0
security_sb_show_options,0
security_kernel_act_as,0
security_sk_clone,0
security_dentry_create_files_as,0
security_msg_queue_alloc,0
security_binder_transfer_binder,0
security_netif_sid,1
security_socket_connect,0
security_binder_transfer_file,0
security_audit_rule_known,0
security_socket_bind,0
security_kernel_post_read_file,1
security_capset,0
security_inode_rename,0
security_bprm_check,1
security_inet_conn_established,0
security_ib_pkey_sid,0
security_ptrace_traceme,0
security_secctx_to_secid,1
security_inode_mknod,1
security_inode_removexattr,1
security_file_free,1
security_cred_free,1
security_dentry_init_security,0
security_secid_to_secctx,1
security_file_alloc,1
security_module_enable,0
security_file_set_fowner,1
security_capget,0
security_inet_csk_clone,0
security_file_receive,0
security_file_open,1
security_sk_free,1
security_msg_queue_msgsnd,0
security_inode_listxattr,1
security_key_getsecurity,0
security_mmap_addr,1
security_inode_getsecid,1
security_mmap_file,1
security_sem_associate,0
security_sem_semop,0
security_task_free,1
security_msg_msg_alloc,0
security_tun_dev_alloc_security,0
security_msg_msg_free,0
security_sb_parse_opts_str,0
security_msg_queue_free,0
security_key_free,0
security_msg_queue_msgctl,0
security_inode_alloc,1
security_netlbl_secattr_to_sid,1
security_netlbl_sid_to_secattr,1
security_task_getsid,0
security_quotactl,1
security_quota_on,1
security_read_policy,1
security_release_secctx,1
security_sb_alloc,1
security_sb_kern_mount,1
security_task_fix_setuid,0
security_sb_pivotroot,1
security_inode_unlink,1
security_socket_post_create,1
